habitaciones,baños,parqueaderos,area_construida,area_privada,estrato,precio_m2,Ascensor,Circuito cerrado de TV,Parqueadero Visitantes,Portería / Recepción,Zonas Verdes,Salón Comunal,Balcón,Barra estilo americano,Calentador,Chimenea,Citófono,Cocina Integral,Terraza,Vigilancia,Parques cercanos,Estudio,Patio,Depósito / Bodega,ubicacion,precio
3.0,2.0,2,97,0,5,690721649.0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,629,670000000.0
3.0,2.0,2,136,136,6,588235294.0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,620,800000000.0
2.0,3.0,2,95,95,6,578947368.0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,162,550000000.0
2.0,2.0,1,59,59,3,43220339.0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,544,255000000.0
4.0,3.0,1,102,102,5,509803922.0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,14,520000000.0
3.0,3.0,1,112,112,4,401785714.0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,554,450000000.0
3.0,2.0,3,80,80,4,5500000.0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,194,440000000.0
3.0,2.0,1,60,60,3,483333333.0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,683,290000000.0
4.0,2.0,1,90,0,3,4000000.0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,483,360000000.0
2.0,1.0,0,45,45,3,355555556.0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,708,160000000.0
3.0,4.0,2,117,0,5,508547009.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,728,595000000.0
3.0,2.0,1,77,77,4,551948052.0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,447,425000000.0
1.0,2.0,1,59,59,6,881355932.0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,639,520000000.0
2.0,2.0,1,93,93,5,591397849.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,550000000.0
3.0,2.0,0,77,77,4,493506494.0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,300,380000000.0
3.0,2.0,2,130,0,6,753846154.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,434,980000000.0
1.0,2.0,1,64,0,5,6562500.0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,229,420000000.0
3.0,3.0,2,102,0,6,735294118.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,750000000.0
4.0,4.0,2,160,0,4,6562500.0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,677,1050000000.0
2.0,2.0,1,69,63,4,492753623.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,217,340000000.0
3.0,2.0,0,51,44,3,31372549.0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,663,160000000.0
2.0,1.0,0,87,0,6,528735632.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,25,460000000.0
2.0,3.0,2,156,156,6,608974359.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,345,950000000.0
4.0,3.0,2,140,140,6,678571429.0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,620,950000000.0
3.0,1.0,0,51,46,3,411764706.0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,197,210000000.0
3.0,2.0,1,67,0,3,46119403.0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,530,309000000.0
3.0,2.0,1,59,59,3,483050847.0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,381,285000000.0
