car_model,price,year_model,kms
Renault Duster Zen,$77.700.000,2024,7030
Renault Duster 2.0 DYNAMIQUE 4X2 MECANICO,$52.800.000,2017,80000
Renault Duster Oroch  Intens At 2023,$78.500.000,2023,25000
Renault Duster 2.0 Dynamique,$60.000.000,2018,69300
Renault Duster 1.6 Expression Mecánica,$42.000.000,2015,161000
Renault Duster 2.0 Dynamique 4x4,$64.000.000,2019,60413
Renault Duster 1.3 Intense Cvt,$83.800.000,2022,27000
Renault Duster 1.6 Dynamique,$50.000.000,2018,171200
Renault Duster 1.6 Dynamique Automática,$62.700.000,2020,73000
Renault Duster Intens 4x4,$60.900.000,2020,56000
Renault Duster 1.6 Zen Mt,$74.500.000,2023,14000
Renault Duster Oroch 2.0 Dynamique,$54.600.000,2017,63000
Renault Duster 1.3 Intens At 4x2,$84.900.000,2022,24200
Renault Duster Oroch 2.0 Dynamique Mt,$75.900.000,2020,41370
Renault Duster 2.0 Dynamique 4x4,$62.000.000,2020,69000
Renault Duster 1.3 Intense Mt 4x4,$91.800.000,2023,21900
Renault Duster 1.3 Intense Cvt,$79.900.000,2022,20000
Renault Duster 1.6 Intense Mt,$72.900.000,2022,26000
Renault Duster Intens 1.3 4x4 MT,$79.900.000,2022,48800
Renault Duster Oroch Intents,$75.900.000,2020,51839
Renault Duster INTENS 1.6,$88.990.000,2024,0
Renault Duster Oroch Outsider,$100.900.000,2023,27300
Renault Duster 2.0cc Automatica,$43.000.000,2014,58000
Renault Duster OROCH INTENS,$78.900.000,2021,41470
Renault Duster INTENS,$82.900.000,2022,47279
Renault Duster OROCH DYNAMIQUE,$78.900.000,2022,26910
Renault Duster 2.0 Dynamique 4x2,$59.800.000,2018,90000
Renault Duster 1.3 Intense Cvt,$89.500.000,2023,4186
Renault Duster 1.6 Expression Mecánica,$55.900.000,2020,158900
Renault Duster 1.3 Intense Mt 4x4,$77.900.000,2022,56000
Renault Duster 1.3 Intense Cvt,$78.000.000,2022,28000
Renault Duster 1.3 Intense Mt 4x4 Outsider,$81.990.000,2022,55981
Renault Duster 2.0 Dynamique 4x2,$45.300.000,2015,120500
Renault Duster 1.3 Intense Cvt,$74.990.000,2022,58500
Renault Duster 2.0 Dynamique 4x2,$46.000.000,2015,48000
Renault Duster 2.0 Dynamique 4x4,$61.790.000,2020,53381
Renault Duster 1.6 Dynamique,$54.900.000,2019,72000
Renault Duster 2.0 Dynamique 4x4,$63.900.000,2019,182000
Renault Duster 1.6 Expression Mecánica,$45.800.000,2015,60000
Renault Duster Iconic 1.3 Turbo 4x4,$100.000.000,2024,5600
Renault Duster Dynamique 4x2 Automa,$37.900.000,2013,102000
Renault Duster 1.6 Expression Automática,$42.500.000,2015,92000
Renault Duster 1.3 T Iconic Cvt,$90.900.000,2024,3000
Renault Duster 2.0 Dynamique 4x4,$64.800.000,2020,33000
Renault Duster 2.0 Dynamique 4x4,$62.900.000,2018,80000
Renault Duster 2.0 Dynamique 4x4,$57.900.000,2017,69000
Renault Duster Oroch 2.0 Intens,$78.900.000,2022,33000
Renault Duster 1.3 Intense Mt 4x4,$87.000.000,2023,41200
Renault Duster 2.0 Expression,$67.000.000,2019,68000
Renault Duster 2.0 Dynamique 4x4,$60.990.000,2020,68929
Renault Duster 1.6 Zen Mt,$85.990.000,2023,28000
Renault Duster Iconic 1.3 Turbo MT,$96.900.000,2024,1900
Renault Duster Oroch 2.0 Intens,$96.000.000,2023,22390
Renault Duster 1.3 Intense Cvt,$82.000.000,2022,31200
Renault Duster 2.0 Dynamique 4x4,$63.900.000,2021,47000
Renault Duster 2.0 Dynamique 4x2,$46.000.000,2017,95400
Renault Duster 1.6 Expression Mecánica,$44.000.000,2015,134615
Renault Duster 2.0 Dynamique 4x4,$44.900.000,2015,169000
Renault Duster 2.0 Dynamique 4x4,$63.500.000,2019,59000
Renault Duster 1.3 Intense Cvt,$79.900.000,2022,38000
Renault Duster Oroch Intens Outsider 4x4,$94.900.000,2023,9000
Renault Duster 2.0 Dynamique 4x2,$63.000.000,2019,58000
Renault Duster 2.0 Dynamique 4x4,$68.990.000,2020,34000
Renault Duster 2.0 Dynamique 4x2,$66.000.000,2020,42000
Renault Duster Oroch 2.0 Intens,$94.270.000,2021,76500
Renault Duster 1.6 Expression Mecánica,$37.900.000,2016,128000
Renault Duster 1.3 Intense Mt 4x4,$99.800.000,2023,22800
Renault Duster 2.0 Dynamique 4x4,$67.000.000,2021,54060
Renault Duster 1.6 Intense,$77.900.000,2022,40000
Gran Oportunidad Renault Duster Iconic 2024 Nueva 0 Km Mt ,$99.900.000,2024,0
Renault Duster 2.0 Dynamique 4x2,$45.000.000,2015,116000
Renault Duster Oroch 1.3 Turbo Intens,$91.900.000,2023,6000
Renault Duster 2.0 Dynamique 4x4,$56.900.000,2019,83000
Renault Duster 1.6 Zen Mt,$87.800.000,2024,8600
Renault Duster 2.0 Dynamique 4x2,$42.700.000,2014,83500
Renault Duster 4x4,$71.800.000,2018,17300
Renault Duster 2.0 Dynamique 4x2,$59.900.000,2016,43500
Renault Duster INTENS,$67.900.000,2021,63297
Renault Duster 1.6 Zen,$67.000.000,2021,35800
Renault Duster 2.0 Dynamique 4x2,$46.900.000,2016,220000
Renault Duster 2.0 Dynamique 4x2,$39.900.000,2013,89000
Renault Duster 1.3 Intense Mt 4x4,$81.900.000,2022,45000
Renault Duster 2.0 Dynamique/Intens,$68.900.000,2020,64397
Renault Duster 2.0 Dynamique 4x4,$66.990.000,2019,69586
Renault Duster 1.3 Intense Cvt,$89.000.000,2022,15293
Renault Duster Oroch 2.0 Dynamique,$72.000.000,2022,87000
Renault Duster ICONIC,$93.900.000,2024,1259
Renault  Duster  Intens,$98.500.000,2024,9943
Renault Duster 2.0 Dynamique 4x2,$42.900.000,2014,90000
Renault Duster 2.0 Dynamique 4x4,$70.900.000,2020,35000
Renault Duster 2.0 Dynamique 4x2,$55.900.000,2018,63000
Renault Duster 2.0 Dynamique 4x2,$44.500.000,2016,186000
Renault Duster Dynamique Intens Mt 1.6 4x2,$56.900.000,2018,44600
Renault  Duster  Intens,$57.900.000,2019,64215
Renault Duster 1.3 T Iconic Mt 4X4,$86.900.000,2023,17850
Renault Duster 2.0 Dynamique 4x4,$65.000.000,2020,80000
