car_model,price,year_model,kms
Kia Rio 1.4 Vibrant Hb 5 p,$63.500.000,2020,28000
Kia Rio Spice Hatchback ,$34.000.000,2013,162000
Kia Rio 1.4 4 p,$40.000.000,2014,110000
Kia Tonic VIBRANT,$62.000.000,2020,48300
Kia Rio 1.4 Vibrant Hb 5 p,$69.900.000,2023,15400
Kia Rio 1.4 4 p,$41.000.000,2014,90000
Kia Rio Stylus  2014,$57.000.000,2014,700000
Kia Rio Spice  2013 Full,$39.200.000,2013,110
Kia Rio R Kia Río R ,$47.900.000,2016,79000
Kia Rio 1.2 5 p,$41.000.000,2014,40000
Kia Rio R Ubex Version Summa 1.3,$55.000.000,2017,42000
Kia Rio 1.4 4 p,$48.000.000,2016,80000
Kia Rio 1.5 Stylus 4 p,$22.000.000,2009,113000
Kia Rio 1.4 5 p 109 hp,$30.500.000,2012,73000
Kia Rio 1.25 4 p,$38.000.000,2016,75000
Kia Rio Sedán Ub Ex,$42.000.000,2015,116477
Kia Rio Vibrant HB Mecánico,$67.900.000,2023,23500
Kia Rio 1.4 Vibrant Hb 5 p,$55.000.000,2019,33000
Kia Rio Spice Full,$40.000.000,2013,119000
Kia Rio 1.4,$60.000.000,2018,87200
Kia Rio Sedán 1250 Cc,$46.000.000,2016,91000
Kia Rio Sedán Ub Ex ,$42.500.000,2015,136468
Kia Rio Kia Rio zenith 1.4,$61.000.000,2020,36000
Kia Rio 1.2 5 p,$40.800.000,2014,82500
Kia Rio 1.4,$58.000.000,2018,66000
Kia Rio Spice R Summa 1.2,$49.000.000,2017,63000
Kia Rio 1.4 4 p,$38.000.000,2013,133000
Kia Rio 1.4 Vibrant At,$73.000.000,2023,20800
Kia Rio R Full,$48.000.000,2018,88000
Kia Rio 1.5 Stylus,$22.000.000,2012,100500
Kia Rio Spice Space,$39.000.000,2013,100000
Kia Rio 1.25 5 p,$44.800.000,2016,96500
Kia Rio 1.2 4 p,$40.000.000,2015,84000
"Kia Rio 1.4 Zenith 2020 Versión De Lujo, Excelente Estado",$64.900.000,2020,49000
Kia Rio 1.5 Stylus,$23.900.000,2014,99000
Kia Rio Spice 1.4,$43.500.000,2015,96000
