car_model,price,year_model,kms
Chevrolet Onix 1.4 Ltz Aut,$44.900.000,2019,37000
Chevrolet Onix 1.4 Ltz Aut,$42.000.000,2019,68200
Chevrolet Onix 1.4 Ltz,$43.990.000,2019,64000
Chevrolet Onix 1.0t Automática,$60.000.000,2021,23600
Chevrolet Onix 1.4 Ltz Aut,$45.000.000,2019,47490
Chevrolet Onix 1.0t Mecánica,$55.500.000,2021,54000
Chevrolet Onix 1.0t Mecánica,$53.000.000,2021,51548
Espectacular Chevrolet Onix 1.2 Turbo Automatico,$70.000.000,2021,27000
Chevrolet Onix 1.0T Rs Mt,$67.000.000,2022,30200
Chevrolet Onix 1.0t Automática,$68.000.000,2022,32000
Chevrolet Onix 1.0t Mecánica,$69.500.000,2023,8500
Chevrolet Onix 1.0t Automática,$59.000.000,2021,53210
Chevrolet Onix 1.4 Ltz Aut,$52.000.000,2020,39000
Chevrolet Onix Active,$48.500.000,2019,54200
Chevrolet Onix 1.0t Mecánica,$64.000.000,2021,53000
Chevrolet Onix Activ Hatchbak,$49.000.000,2019,64000
Chevrolet Onix 1.0t Mecánica,$45.000.000,2021,41800
Chevrolet Onix 1.0t Automática,$68.900.000,2022,22000
Chevrolet Onix 1.0t Mecánica,$68.500.000,2023,22600
Chevrolet Onix 1.4 Ltz Automática,$40.000.000,2017,84000
Chevrolet Onix 1.4 Ltz,$47.500.000,2020,49000
Chevrolet Onix 1.4 Lt,$45.000.000,2020,31000
Vencambio Chevrolet Onix Activ Full,$47.900.000,2019,51000
Chevrolet Onix 1.4 Lt,$46.500.000,2019,57593
Chevrolet Onix 1.0L turbo mecánico,$57.000.000,2021,47200
Chevrolet Onix 1.0t Mecánica,$60.000.000,2021,29300
Chevrolet Onix 1.0t Automática,$64.000.000,2022,25000
Chevrolet Onix 1.0t Automática,$53.000.000,2021,32000
Chevrolet Onix 1.0t Automática,$62.000.000,2021,18731
Chevrolet Onix 1.0t Automática,$58.000.000,2021,42000
Chevrolet Onix 1.4 Ltz Mecánica,$42.000.000,2017,100
Chevrolet Onix 1.4 Ltz 5 p,$47.000.000,2019,50000
Chevrolet Onix 1.0t Mecánica,$58.000.000,2021,23000
Chevrolet Onix 1.0t Mecánica,$61.000.000,2022,11500
Chevrolet Onix 1.0t Automática,$68.000.000,2022,18100
Chevrolet Onix 1.0t Mecánica,$67.500.000,2023,4000
Chevrolet Onix 1.0t Mecánica,$56.000.000,2023,6000
Chevrolet Onix 1.0t Automática,$65.900.000,2022,19000
Chevrolet Onix 1.4 Ltz 5 p,$55.000.000,2020,18800
Chevrolet Onix 1.0t Mecánica,$55.000.000,2022,30100
Chevrolet Onix 1.0t Mecánica,$51.000.000,2021,43000
Chevrolet Onix 1.0t Automática,$52.900.000,2023,7000
Chevrolet Onix 1.4 Ltz,$37.500.000,2016,80000
Chevrolet Onix 1.4 Ltz Aut,$44.500.000,2018,41000
Chevrolet Onix 1.4 Ltz,$38.000.000,2016,72000
Chevrolet Onix 1.0t Automática,$60.900.000,2022,16000
Chevrolet Onix 1.4 Lt,$51.000.000,2020,36000
Chevrolet Onix 1.0t Automática,$77.000.000,2023,3159
Chevrolet Onix 1.0t Automática,$65.000.000,2022,14200
Chevrolet Onix 1.4 Ltz Aut,$55.000.000,2020,2766
Chevrolet Onix 1.4 Ltz Aut,$47.000.000,2019,51409
Chevrolet Onix 1.0t Automática,$56.500.000,2021,51500
Chevrolet Onix 1.0t Automática,$59.000.000,2021,52000
Chevrolet Onix 1.0T Rs Mt,$62.500.000,2023,13100
Chevrolet Onix 1.4 Ltz 5 p,$42.000.000,2019,39000
Chevrolet Onix 1.4 Ltz Aut,$45.000.000,2018,52000
Se Vende Chevrolet Onix Ltz 2017,$41.000.000,2017,106000
Chevrolet Onix 1.4 Ltz 4 p,$47.000.000,2020,58000
Chevrolet Onix 1.4 Ltz Aut,$52.000.000,2020,39000
Chevrolet Onix 1.4 Ltz,$48.000.000,2018,60000
Chevrolet Onix 1.4 Ltz Automática,$42.000.000,2017,25500
Chevrolet Onix Lt Turbo,$53.900.000,2022,21432
